Product,Price per Unit,Units Sold,Total Sales,Timestamp
Vegetables,20.16,9,181.47,2024-11-27 10:33:28
Rice,32.32,66,2133.0,2024-11-27 10:33:28
Fruits,14.58,51,743.71,2024-11-27 10:33:28
Rice,27.34,63,1722.7,2024-11-27 10:33:28
Fruits,24.25,79,1915.93,2024-11-27 10:33:28
Bread,28.39,78,2214.06,2024-11-27 10:33:28
Fruits,28.04,11,308.45,2024-11-27 10:33:28
Rice,35.78,4,143.14,2024-11-27 10:33:28
Vegetables,28.39,31,880.2,2024-11-27 10:33:28
Milk,14.67,92,1349.18,2024-11-27 10:33:28
Eggs,9.78,8,78.23,2024-11-27 10:33:28
Eggs,8.39,65,545.16,2024-11-27 10:33:28
Eggs,8.3,82,680.7,2024-11-27 10:33:28
Bread,21.36,44,939.78,2024-11-27 10:33:28
Eggs,11.39,49,558.04,2024-11-27 10:33:28
Milk,13.5,40,539.94,2024-11-27 10:33:28
Vegetables,32.2,56,1803.08,2024-11-27 10:33:28
Eggs,11.41,54,616.29,2024-11-27 10:33:28
Vegetables,37.64,77,2898.57,2024-11-27 10:33:28
Bread,16.76,15,251.42,2024-11-27 10:33:28
Bread,16.91,12,202.86,2024-11-27 10:33:28
Vegetables,27.45,2,54.9,2024-11-27 10:33:28
Bread,20.29,55,1116.08,2024-11-27 10:33:28
Eggs,6.53,1,6.53,2024-11-27 10:33:28
Fruits,37.66,10,376.62,2024-11-27 10:33:28
Eggs,5.2,88,457.96,2024-11-27 10:33:28
Rice,24.99,41,1024.76,2024-11-27 10:33:28
Vegetables,31.66,62,1963.02,2024-11-27 10:33:28
Milk,18.5,72,1331.92,2024-11-27 10:33:28
Rice,36.13,99,3577.34,2024-11-27 10:33:28
Milk,11.77,82,965.03,2024-11-27 10:33:28
Bread,29.39,3,88.18,2024-11-27 10:33:28
Rice,20.62,28,577.49,2024-11-27 10:33:28
Bread,24.57,33,810.77,2024-11-27 10:33:28
Rice,25.21,22,554.58,2024-11-27 10:33:28
Vegetables,28.48,9,256.34,2024-11-27 10:33:28
Eggs,6.57,39,256.4,2024-11-27 10:33:28
Fruits,41.17,78,3211.21,2024-11-27 10:33:28
Bread,28.24,56,1581.65,2024-11-27 10:33:28
Fruits,46.59,46,2143.14,2024-11-27 10:33:28
Milk,10.02,2,20.03,2024-11-27 10:33:28
Milk,16.93,25,423.17,2024-11-27 10:33:28
Fruits,15.57,8,124.56,2024-11-27 10:33:28
Milk,15.2,45,684.16,2024-11-27 10:33:28
Rice,37.73,45,1697.78,2024-11-27 10:33:28
Rice,25.64,12,307.74,2024-11-27 10:33:28
Rice,36.19,36,1303.01,2024-11-27 10:33:28
Fruits,28.35,95,2693.59,2024-11-27 10:33:28
Bread,23.89,42,1003.5,2024-11-27 10:33:28
Bread,19.62,58,1138.22,2024-11-27 10:33:28
Rice,23.74,34,807.31,2024-11-27 10:33:28
Milk,23.61,60,1416.37,2024-11-27 10:33:28
Vegetables,32.99,59,1946.51,2024-11-27 10:33:28
Eggs,5.01,65,325.7,2024-11-27 10:33:28
Vegetables,16.41,23,377.51,2024-11-27 10:33:28
Milk,19.77,81,1601.07,2024-11-27 10:33:28
Milk,24.1,42,1012.41,2024-11-27 10:33:28
Bread,23.96,80,1917.14,2024-11-27 10:33:28
Rice,30.15,79,2381.99,2024-11-27 10:33:28
Rice,27.33,10,273.29,2024-11-27 10:33:28
Milk,19.37,12,232.42,2024-11-27 10:33:28
Bread,25.13,61,1532.68,2024-11-27 10:33:28
Fruits,13.28,34,451.4,2024-11-27 10:33:28
Fruits,30.93,26,804.06,2024-11-27 10:33:28
Milk,18.6,35,651.12,2024-11-27 10:33:28
Bread,15.4,75,1154.86,2024-11-27 10:33:28
Fruits,16.12,64,1031.72,2024-11-27 10:33:28
Milk,16.13,23,370.95,2024-11-27 10:33:28
Vegetables,6.6,100,660.06,2024-11-27 10:33:28
Fruits,15.18,8,121.44,2024-11-27 10:33:28
Eggs,10.19,68,693.16,2024-11-27 10:33:28
Fruits,46.59,46,2143.28,2024-11-27 10:33:28
Milk,19.03,45,856.32,2024-11-27 10:33:28
Milk,18.11,89,1612.0,2024-11-27 10:33:28
Milk,20.06,32,642.04,2024-11-27 10:33:28
Fruits,17.45,13,226.81,2024-11-27 10:33:28
Bread,20.93,77,1611.89,2024-11-27 10:33:28
Milk,12.98,86,1116.08,2024-11-27 10:33:28
Milk,21.04,64,1346.29,2024-11-27 10:33:28
Rice,40.76,3,122.29,2024-11-27 10:33:28
Eggs,5.67,51,289.09,2024-11-27 10:33:28
Milk,12.12,65,787.6,2024-11-27 10:33:28
Vegetables,28.08,82,2302.85,2024-11-27 10:33:28
Eggs,7.79,28,218.01,2024-11-27 10:33:28
Vegetables,25.63,65,1665.92,2024-11-27 10:33:28
Fruits,26.55,90,2389.42,2024-11-27 10:33:28
Fruits,23.14,86,1990.17,2024-11-27 10:33:28
Vegetables,29.96,94,2816.3,2024-11-27 10:33:28
Milk,10.89,21,228.59,2024-11-27 10:33:28
Milk,10.01,70,700.41,2024-11-27 10:33:28
Milk,15.29,45,688.1,2024-11-27 10:33:28
Fruits,13.01,80,1040.89,2024-11-27 10:33:28
Rice,39.11,23,899.45,2024-11-27 10:33:28
Rice,21.91,35,766.93,2024-11-27 10:33:28
Fruits,29.71,86,2554.85,2024-11-27 10:33:28
Fruits,10.64,65,691.52,2024-11-27 10:33:28
Fruits,12.23,55,672.42,2024-11-27 10:33:28
Fruits,12.45,10,124.48,2024-11-27 10:33:28
Eggs,7.23,10,72.25,2024-11-27 10:33:28
Vegetables,28.23,93,2625.53,2024-11-27 10:33:28
Vegetables,36.49,66,2408.03,2024-11-27 10:33:28
Milk,14.5,41,594.4,2024-11-27 10:33:28
Milk,12.5,98,1225.0,2024-11-27 10:33:28
Bread,24.43,2,48.87,2024-11-27 10:33:28
Milk,17.73,83,1471.91,2024-11-27 10:33:28
Bread,22.21,60,1332.46,2024-11-27 10:33:28
Bread,17.25,78,1345.86,2024-11-27 10:33:28
Milk,12.79,7,89.52,2024-11-27 10:33:28
Eggs,9.01,28,252.34,2024-11-27 10:33:28
Bread,17.11,8,136.88,2024-11-27 10:33:28
Bread,22.18,32,709.67,2024-11-27 10:33:28
Rice,22.38,67,1499.58,2024-11-27 10:33:28
Eggs,6.58,85,559.0,2024-11-27 10:33:28
Milk,13.59,79,1073.45,2024-11-27 10:33:28
Bread,25.73,73,1877.94,2024-11-27 10:33:28
Bread,16.16,94,1518.59,2024-11-27 10:33:28
Vegetables,37.6,92,3458.85,2024-11-27 10:33:28
Milk,15.01,68,1020.51,2024-11-27 10:33:28
Bread,18.62,5,93.11,2024-11-27 10:33:28
Bread,19.01,22,418.2,2024-11-27 10:33:28
Eggs,6.15,56,344.63,2024-11-27 10:33:28
